Company Name,Company Website,Lead Contact (LC),ATS used
Nuveaux Trading,,Soumya,
Ormi ,ormilabs.com,Victor,
Ostium Labs,https://www.ostium.com/,Jules,
Parity ,parity.io,,
Pond ,cryptopond.xyz,Dylan,
Radius ,https://www.theradius.xyz/,,
Rarible,https://rarible.com/,Russell Small,
Sheilded Labs ,shieldedlabs.net,,
Stader Labs ,staderlabs.com,Shashwat,
Temporal ,https://www.temporal.xyz/,Connor,
Tenderly ,tenderly.co,,
Theseus Chain ,theseuschain.com,Eric,
Unravel,https://unravelapp.com/,Maarten,
Aevo,https://www.aevo.xyz/,,
Biconomy,https://biconomy.io/,,
Circle,https://circle.com/,,
Compound,https://compound.finance/,,
Consensys,https://consensys.io/,,
Cosmos,https://cosmos.network/,,
